Well_id,titer,dcm,yield,Yeast_extract_source,Yeast_extract,Glycerol,Tryptone,Magnesium_sulfate,pH,Buffer_capacity,Osmolality,Category,Run_number,Replicate,Dipotassium_phosphate,Potassium_phosphate,Sodium_chloride,Well_bottom,Well_volume,Well_fill_volume,Well_cover,Shake_speed,Temperature,Time,Inoculum_amount,Inoculum_age,Antibiotic_conc,Flask_baffles,Flask_volume,Flask_fill_volume,Flask_cover,Exp_number,Random,Plate,Exp_plate,Row,Column,Well,Starter_culture,Exp_date,Plate_streak_date,Media_number,Strain
e38-1-2-1-C2,6.4610103696870205,9.157661783,0.7055305735008733,1,24,5,12,0.12,7.2,90,750,Centerpoint,1,2,12.7,2.2799999999999998,6.63,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e38,5,1,1,C,2,C2,15,2017-11-04T00:00:00Z,2017-10-18T00:00:00Z,"NA","NA"
e38-1-3-1-C3,6.116907943450544,9.5505738155,0.6404754375620001,1,24,5,12,0.12,7.2,90,750,Centerpoint,1,3,12.7,2.2799999999999998,6.63,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e38,6,1,1,C,3,C3,15,2017-11-04T00:00:00Z,2017-10-18T00:00:00Z,"NA","NA"
e38-1-4-1-C5,6.0721265353221385,10.064381858,0.6033283137498913,1,24,5,12,0.12,7.2,90,750,Centerpoint,1,4,12.7,2.2799999999999998,6.63,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e38,8,1,1,C,5,C5,15,2017-11-04T00:00:00Z,2017-10-18T00:00:00Z,"NA","NA"
e44-1-C3,6.121321476594483,9.0938555555,0.6731271944266021,1,24,5,12,0.12,7.2,90,750,Centerpoint,"NA",1,12.7,2.2799999999999998,6.57,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e44,1,1,1,C,3,C3,16,2018-01-17T00:00:00Z,2018-01-11T00:00:00Z,"NA","NA"
e44-1-C4,7.230011847803473,9.735276053,0.74266120533639,1,24,5,12,0.12,7.2,90,750,Centerpoint,"NA",2,12.7,2.2799999999999998,6.57,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e44,2,1,1,C,4,C4,16,2018-01-17T00:00:00Z,2018-01-11T00:00:00Z,"NA","NA"
e44-1-D4,6.443120586323402,9.4901258105,0.6789288904046613,1,24,5,12,0.12,7.2,90,750,Centerpoint,"NA",3,12.7,2.2799999999999998,6.57,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e44,6,1,1,D,4,D4,16,2018-01-17T00:00:00Z,2018-01-11T00:00:00Z,"NA","NA"
e44-1-D5,5.8398902418500285,10.1013223055,0.5781312649206636,1,24,5,12,0.12,7.2,90,750,Centerpoint,"NA",4,12.7,2.2799999999999998,6.57,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e44,7,1,1,D,5,D5,16,2018-01-17T00:00:00Z,2018-01-11T00:00:00Z,"NA","NA"
e45-1-E4,5.2240123508696925,9.070347998,0.5759439827470324,1,24,5,12,0.12,7.2,90,750,Centerpoint,33,1,12.7,2.2799999999999998,6.57,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e45,27,1,8,E,4,E4,17,2018-01-23T00:00:00Z,2018-01-11T00:00:00Z,"NA","NA"
e45-1-F5,5.03421961761905,9.909903623,0.5079988473283511,1,24,5,12,0.12,7.2,90,750,Centerpoint,34,2,12.7,2.2799999999999998,6.57,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e45,36,1,8,F,5,F5,17,2018-01-23T00:00:00Z,2018-01-11T00:00:00Z,"NA","NA"
e45-1-E6,4.916134281054095,8.835272423,0.5564213581299886,1,24,5,12,0.12,7.2,90,750,Centerpoint,35,3,12.7,2.2799999999999998,6.57,Round,2.5,0.1,Aeraseal,460,30,48,0.01,16,2.5000000000000001E-2,"NA","NA","NA","NA",e45,29,1,8,E,6,E6,17,2018-01-23T00:00:00Z,2018-01-11T00:00:00Z,"NA","NA"
